,alpha,mfcc,model,number_of_bins,lower_freq,upper_freq,sample_rate,frame_step,frame_length,acuracy,size,latency
137,1,TRUE,cnn,40,20,4000,16000,640,840,91.625,1108.426,36.19301081
138,1,TRUE,cnn,40,20,4000,16000,640,1020,90.5,1106.862,33.83654118
139,1,TRUE,cnn,40,20,4000,16000,840,1020,89.25,1108.632,28.34814072
140,1,TRUE,ds_cnn,16,20,4000,16000,128,320,92.25,525.408,48.988626
141,1,TRUE,ds_cnn,16,20,4000,16000,128,640,92.75,525.464,87.12547779
142,1,TRUE,ds_cnn,16,20,4000,16000,128,840,94,525.571,87.26205111
143,1,TRUE,ds_cnn,16,20,4000,16000,128,1020,93.375,525.567,88.5797286
144,1,TRUE,ds_cnn,16,20,4000,16000,320,640,93.625,525.173,42.24527836
145,1,TRUE,ds_cnn,16,20,4000,16000,320,840,94.5,524.926,42.4570775
146,1,TRUE,ds_cnn,16,20,4000,16000,320,1020,93.875,524.826,42.34684706
147,1,TRUE,ds_cnn,16,20,4000,16000,640,840,91.875,525.312,26.84132338
148,1,TRUE,ds_cnn,16,20,4000,16000,640,1020,91.125,525.087,27.41127491
149,1,TRUE,ds_cnn,16,20,4000,16000,840,1020,91.25,524.885,23.18360567
150,1,TRUE,ds_cnn,40,20,4000,16000,128,320,92.125,525.452,56.81066751
151,1,TRUE,ds_cnn,40,20,4000,16000,128,640,92.375,525.716,95.51542282
152,1,TRUE,ds_cnn,40,20,4000,16000,128,840,91.875,525.629,94.43757772
153,1,TRUE,ds_cnn,40,20,4000,16000,128,1020,91.125,525.738,94.65149879
154,1,TRUE,ds_cnn,40,20,4000,16000,320,640,93.375,525.301,45.87133884
155,1,TRUE,ds_cnn,40,20,4000,16000,320,840,93.875,525.068,45.30681849
156,1,TRUE,ds_cnn,40,20,4000,16000,320,1020,93.625,524.713,43.8346076
157,1,TRUE,ds_cnn,40,20,4000,16000,640,840,90.875,525.319,27.88817167
158,1,TRUE,ds_cnn,40,20,4000,16000,640,1020,91.375,524.671,28.18599701
159,1,TRUE,ds_cnn,40,20,4000,16000,840,1020,89.75,525.094,23.76514435
